thickness,wavelength,QE,QE_fraction,wavelength_m,Responsivity_A_W,Bulk Defect Density
2,980,0.000000546689,0.00000000546689,0.00000098,4.30714677921817E-09,760927.74247458
2,1020,0.000000670035,0.00000000670035,0.00000102,5.49440820018089E-09,970676.840680216
2,1060,0.0000007762795,0.000000007762795,0.00000106,6.61526495829565E-09,1168694.47191229
2,1100,0.000000882175,0.00000000882175,0.0000011,7.80136669681439E-09,1378238.69329591
2.3,300,14.75779,0.1475779,0.0000003,0.0355931022007838,6288102145946.76
2.3,340,13.26239,0.1326239,0.00000034,0.0362513323284092,6404389235919.96
2.3,380,14.11872,0.1411872,0.00000038,0.0431322568586071,7620016805002.22
2.3,420,17.15222,0.1715222,0.00000042,0.0579152438950859,10231672624807.1
2.3,460,18.74822,0.1874822,0.00000046,0.0693331821927444,12248837689734
2.3,500,20.68495,0.2068495,0.0000005,0.0831472213847854,14689313066048.7
2.3,540,26.71722,0.2671722,0.00000054,0.115986725354236,20490947164061.6
2.3,580,36.18618,0.3618618,0.00000058,0.168730655411516,29809022838048.5
2.3,620,43.74954,0.4374954,0.00000062,0.218066242990654,38524959211840.9
2.3,660,47.62703,0.4762703,0.00000066,0.252708992463069,44645166044899.4
2.3,700,49.50732,0.4950732,0.0000007,0.278606162194754,49220323547191.3
2.3,740,53.56274,0.5356274,0.00000074,0.318652819616119,56295218875189.2
2.3,780,1.05361,0.0105361,0.00000078,0.006606900211034,1167216702851.6
2.3,820,0.00000002561002,2.561002E-10,0.00000082,1.68828993267008E-10,29826.3958244395
2.3,860,0.00000001039903,1.039903E-10,0.00000086,7.18976247613305E-11,12701.8883040839
2.3,900,-0.00000006677974,-6.677974E-10,0.0000009,-4.83181718420259E-10,-85361.9328638841
2.3,940,-0.0000001876636,-0.000000001876636,0.00000094,-1.41817935081901E-09,-250544.517556158
2.3,980,-0.0000003384287,-0.000000003384287,0.00000098,-2.66634610390916E-09,-471053.536251154
2.3,1020,-0.0000005166584,-0.000000005166584,0.00000102,-4.2366923364486E-09,-748480.815812451
2.3,1060,-0.0000007203836,-0.000000007203836,0.00000106,-6.13893370314541E-09,-1084542.78513895
2.3,1100,-0.0000009307776,-0.000000009307776,0.0000011,-8.23117564063913E-09,-1454171.45483958
