thickness,wavelength,QE,QE_fraction,wavelength_m,Responsivity_A_W
2.0,1060,7.762795e-07,7.762795e-09,1.06e-06,6.615264958295649e-09
2.0,1100,8.82175e-07,8.821750000000001e-09,1.1e-06,7.801366696814391e-09
2.3,300,14.75779,0.1475779,3.0000000000000004e-07,0.03559310220078385
2.3,340,13.26239,0.1326239,3.4000000000000003e-07,0.0362513323284092
2.3,380,14.11872,0.14118719999999998,3.8e-07,0.04313225685860717
2.3,420,17.15222,0.17152219999999999,4.2e-07,0.05791524389508591
2.3,460,18.74822,0.1874822,4.6000000000000004e-07,0.06933318219274444
2.3,500,20.68495,0.20684950000000002,5.000000000000001e-07,0.08314722138478546
2.3,540,26.71722,0.2671722,5.4e-07,0.11598672535423576
2.3,580,36.18618,0.3618618,5.800000000000001e-07,0.16873065541151647
2.3,620,43.74954,0.43749540000000003,6.2e-07,0.21806624299065422
2.3,660,47.62703,0.4762703,6.6e-07,0.25270899246306905
2.3,700,49.50732,0.4950732,7.000000000000001e-07,0.2786061621947543
2.3,740,53.56274,0.5356274,7.4e-07,0.31865281961611897
2.3,780,1.05361,0.0105361,7.8e-07,0.006606900211034067
2.3,820,2.561002e-08,2.561002e-10,8.200000000000001e-07,1.6882899326700835e-10
2.3,860,1.039903e-08,1.0399030000000001e-10,8.6e-07,7.189762476133053e-11
2.3,900,-6.677974e-08,-6.677974e-10,9.000000000000001e-07,-4.831817184202593e-10
2.3,940,-1.876636e-07,-1.8766360000000002e-09,9.400000000000001e-07,-1.4181793508190134e-09
2.3,980,-3.384287e-07,-3.384287e-09,9.800000000000001e-07,-2.666346103909155e-09
2.3,1020,-5.166584e-07,-5.166584000000001e-09,1.02e-06,-4.236692336448598e-09
2.3,1060,-7.203836e-07,-7.203836e-09,1.06e-06,-6.138933703145412e-09
2.3,1100,-9.307776e-07,-9.307776e-09,1.1e-06,-8.231175640639131e-09
